"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment"
"677891","CR-0000087058","2","1","0","0","21-179-1013","False","False","0","6/28/2021 9:19:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677892","CR-0000087059","1","0","0","0","21-179-1000","False","False","33","6/28/2021 8:59:00 PM","No Pedestrians Involved","Dry","Unknown","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677893","CR-0000087061","1","0","0","0","21-179-0630","False","False","","6/28/2021 2:21:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677894","CR-0000087062","3","0","0","0","21-179-0701","False","False","0","6/28/2021 3:44:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677896","CR-0000087063","0","0","0","0","21-179-0954","False","False","82","6/28/2021 8:01:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677897","CR-0000087064","1","0","0","0","21-179-0978","False","False","55","6/28/2021 8:31:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"677898","CR-0000087065","0","0","1","0","21-179-0759","False","False","24","6/28/2021 4:37:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Vehicle/Bike","Related","Bike","Not Applicable","Not Applicable","West Of",""
"677899","CR-0000087066","0","0","0","0","21-180-0735","False","False","0","6/29/2021 4:52:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677900","CR-0000087067","0","1","0","0","21-180-0771","False","False","0","6/29/2021 5:36:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677901","CR-0000087068","0","0","0","0","21-180-0870","True","False","63","6/29/2021 7:20:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Street light"
"677902","CR-0000087069","1","0","0","0","21-180-0880","False","False","0","6/29/2021 7:36:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Pedestrian","South","North","At",""
"677903","CR-0000087070","1","0","0","0","21-181-0602","False","False","0","6/30/2021 1:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677904","CR-0000087071","2","1","0","0","21-181-1136","False","False","0","6/30/2021 9:05:00 PM","No Pedestrians Involved","Dry","Other","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677905","CR-0000087072","0","0","0","0","21-181-1175","False","False","230","6/30/2021 9:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","Fire hydrant"
"677913","CR-0000087080","0","0","0","1","21-195-1101","True","False","255","7/14/2021 10:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Tree"
"677914","CR-0000087081","0","0","0","1","21-195-0078","False","False","264","7/14/2021 2:27:00 AM","Crossing - Not In Crosswalk","Dry","No Unusual Conditions","Dark - Street Light","Unknown","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","South","North","East Of",""
"677915","CR-0000087082","0","0","0","1","21-198-0129","False","False","0","7/17/2021 2:32:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","Hit and Run"
"677916","CR-0000087085","1","0","0","0","21-175-0952","False","False","90","6/24/2021 9:05:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677979","CR-0000087149","1","1","0","0","21-173-0303","False","False","0","6/22/2021 8:50:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677980","CR-0000087150","0","0","0","0","21-173-9708","False","True","","6/22/2021 12:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677981","CR-0000087151","0","1","0","0","21-175-0491","False","False","195","6/24/2021 12:39:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677982","CR-0000087152","0","1","0","0","21-175-0659","False","False","288","6/24/2021 3:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Other","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677983","CR-0000087153","1","0","0","0","21-175-1028","False","False","0","6/24/2021 10:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677984","CR-0000087154","0","1","0","0","21-175-0899","False","False","0","6/24/2021 8:09:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","Bike"
"677985","CR-0000087155","0","1","0","0","21-175-0653","False","False","240","6/24/2021 3:57:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677998","CR-0000087168","1","0","0","0","21-173-0591","False","False","295","6/22/2021 1:33:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677999","CR-0000087169","0","0","0","0","21-173-0704","True","False","92","6/22/2021 3:42:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","Curb"
"678000","CR-0000087170","1","0","0","0","21-174-0140","False","False","0","6/23/2021 7:12:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678001","CR-0000087171","2","0","0","0","21-174-0132","False","False","0","6/23/2021 6:46:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678002","CR-0000087172","1","0","0","0","21-174-0428","False","False","0","6/23/2021 12:13:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","Bike"
"678003","CR-0000087173","0","0","0","0","21-174-0159","False","False","0","6/23/2021 7:37:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678004","CR-0000087174","0","0","0","0","21-174-1013","True","False","","6/23/2021 10:15:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Fixed Object","Not Applicable","Not Applicable","South Of","Pole"
"678005","CR-0000087175","0","0","0","0","21-174-0543","False","False","","6/23/2021 2:05:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"678006","CR-0000087176","0","0","0","0","21-174-0877","False","False","33","6/23/2021 7:38:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"678007","CR-0000087177","0","0","0","0","21-174-0105","True","False","0","6/23/2021 4:39:00 AM","No Pedestrians Involved","Dry","Other","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At","Emergency Vehicle"
"678008","CR-0000087178","0","0","0","0","21-180-9709","False","False","","6/29/2021 1:00:00 PM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"678009","CR-0000087179","0","0","0","0","21-186-9714","False","True","51","6/28/2021 6:44:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Unknown","Clear","Other","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"678010","CR-0000087180","0","0","0","0","21-179-0169","False","False","40","6/28/2021 4:34:00 AM","No Pedestrians Involved","Unknown","Unknown","Dark - Street Light","Unknown","No Controls Present/Factor","Unknown","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","North Of","Fence, curb"
"678011","CR-0000087181","0","0","0","0","21-181-9706","False","True","0","6/28/2021 6:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678012","CR-0000087182","1","0","0","0","21-178-0500","False","False","0","6/27/2021 2:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678013","CR-0000087183","0","0","0","0","21-178-0655","False","False","51","6/27/2021 6:10:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"678014","CR-0000087184","0","0","0","0","21-179-0249","False","False","60","6/28/2021 7:40:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"678015","CR-0000087185","0","0","0","0","21-179-0584","False","False","42","6/28/2021 1:33:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Unknown","Other","Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"678016","CR-0000087186","0","0","0","0","21-179-0885","False","False","51","6/28/2021 6:44:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"678017","CR-0000087187","0","0","0","0","21-179-1122","False","False","98","6/28/2021 11:24:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"678018","CR-0000087188","1","0","0","0","21-180-0973","False","False","0","6/29/2021 9:16:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At",""
"678019","CR-0000087189","0","0","0","0","21-181-0065","False","False","138","6/30/2021 1:46:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"678020","CR-0000087190","0","0","0","0","21-181-0432","False","False","","6/30/2021 10:58:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","Unknown",""
"678021","CR-0000087191","1","0","0","0","21-181-0815","False","False","40","6/30/2021 4:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"678022","CR-0000087192","0","0","0","0","21-181-1200","False","False","","6/30/2021 10:18:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"678023","CR-0000087193","0","2","0","0","21-181-1062","True","False","208","6/30/2021 8:49:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","3 trees"
"678024","CR-0000087194","0","0","0","0","21-178-0871","False","False","52","6/27/2021 10:03:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","West Of","Chain-link fence"
"678038","CR-0000087208","0","0","0","0","21-186-9707","False","True","51","6/26/2021 12:00:00 AM","No Pedestrians Involved","Unknown","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"678040","CR-0000087210","0","0","0","0","21-188-9705","False","True","","6/24/2021 10:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","North Of",""
"678041","CR-0000087211","0","0","0","0","21-180-9708","False","True","0","6/25/2021 10:53:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678051","CR-0000087221","0","0","0","0","21-173-0544","False","False","163","6/22/2021 12:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"678052","CR-0000087222","0","0","0","0","21-176-0261","False","False","51","6/25/2021 12:23:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
"678053","CR-0000087223","0","0","0","0","21-174-0894","False","False","48","6/23/2021 7:54:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","South Of",""
"678056","CR-0000087228","2","0","0","0","21-175-0207","False","False","126","6/24/2021 8:17:00 AM","No Pedestrians Involved","Dry","Unknown","Daylight","Violation Driver 1","Unknown","Cloudy","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"678057","CR-0000087227","0","1","0","0","21-174-0416","False","False","0","6/23/2021 11:59:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Parked Vehicle","Not Applicable","Not Applicable","At",""
"678058","CR-0000087225","2","0","0","0","21-174-0732","False","False","0","6/23/2021 5:10:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678060","CR-0000087230","0","0","0","0","21-173-1021","False","False","0","6/22/2021 8:02:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"678062","CR-0000087232","0","0","0","0","21-178-0064","True","False","134","6/27/2021 12:56:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Other Improper Driving","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","Light pole, fire service"
"678063","CR-0000087233","1","0","0","0","21-179-0734","False","False","51","6/28/2021 4:14:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"678065","CR-0000087235","0","0","0","0","21-178-0011","False","False","53","6/27/2021 12:50:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Unknown","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of",""
